,cpu_rank,cpu_name
726,727,AMD Athlon II Neo K145
727,728,AMD Turion 64 MK-38
728,729,AMD Mobile Sempron 3300+
729,730,AMD Turion 64 MK-36
730,731,AMD Mobile Sempron 3200+
731,732,AMD Turion 64 ML-32
732,733,AMD E1-2100
733,734,Intel Atom N550
734,735,Intel Celeron M 530
735,736,Intel Pentium M 740
736,737,AMD Athlon II Neo K125
737,738,AMD Turion 64 ML-34
738,739,Intel Celeron Dual-Core T1700
739,740,Intel Celeron M 440
740,741,Intel Celeron M 520
741,742,AMD Mobile Sempron 3500+
742,743,AMD Mobile Sempron 3100+
743,744,Intel Pentium M 735
744,745,Intel Atom N2800
745,746,Intel Celeron M 430
746,747,AMD Turion 64 MT-32
747,748,Intel Dothan Celeron M 535
748,749,AMD Mobile Sempron 3000+
749,750,Intel Celeron M 520
750,751,Intel Pentium M 730
751,752,Intel Atom Z2760
752,753,Intel Atom N2600
753,754,Intel Celeron M 420
754,755,Intel Atom Z550
755,756,AMD C-50
756,757,Intel Pentium M 778
757,758,Intel Celeron M 390
758,759,Intel Celeron M 410
759,760,Intel Celeron M 380
760,761,Intel Atom N475
761,762,AMD Athlon Neo MV-40
762,763,Athlon Neo MV-40
763,764,Intel Core 2 Duo SU2700
764,765,Intel Celeron M 220
765,766,Intel Celeron 743
766,767,AMD Athlon 64 L110
767,768,Intel Core 2 Duo SU3500
768,769,Intel Atom N470
769,770,Intel Celeron processor 723
770,771,AMD Mobile Sempron 210U
771,772,VIA C7-M-1600
772,773,Intel Core Solo
773,774,Intel Atom N280
774,775,Intel Atom N455
775,776,Intel Atom Z540
776,777,Intel Atom Z540
777,778,Intel Core Solo
778,779,AMD E-240
779,780,Intel Atom N450
780,781,Intel Atom N435
781,782,VIA C7-M-1000
782,783,Intel Atom 330
783,784,Intel Atom N270
784,785,Intel Atom Z520
785,786,VIA C7-M-1200
786,787,Intel Pentium M ULV-900
787,788,Intel Atom Z530
788,789,Intel Mobile A A110
789,790,Intel Atom Z530
790,791,Intel Core i7-4750HQ
